timestamp,attack_type,description,payload,contract_type,result,http_status,response_body
2025-10-12T18:06:48.344438,SQLi,Classic Tautology,' OR 1=1--,Weak Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:48.350329,SQLi,Classic Tautology,' OR 1=1--,Strict Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:48.456530,SQLi,Tautology with Comment,' OR 'a'='a,Weak Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:48.458792,SQLi,Tautology with Comment,' OR 'a'='a,Strict Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:48.565760,SQLi,Boolean-based Blind,AND 1=1,Weak Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:48.573496,SQLi,Boolean-based Blind,AND 1=1,Strict Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:48.683024,SQLi,UNION Statement,"UNION SELECT user, password FROM users",Weak Contract,ALLOWED,200,"{""pattern_name"": ""SQLi Union"", ""status"": ""pattern_received""}"
2025-10-12T18:06:48.685701,SQLi,UNION Statement,"UNION SELECT user, password FROM users",Strict Contract,ALLOWED,200,"{""pattern_name"": ""SQLi Union"", ""status"": ""pattern_received""}"
2025-10-12T18:06:48.792767,SQLi,Stacked Query,'; DROP TABLE members;--,Weak Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:48.794162,SQLi,Stacked Query,'; DROP TABLE members;--,Strict Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:48.900276,SQLi,Error-based,"OR 1=CAST(CONCAT(0x7e,(SELECT user())) AS SIGNED)",Weak Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:48.902463,SQLi,Error-based,"OR 1=CAST(CONCAT(0x7e,(SELECT user())) AS SIGNED)",Strict Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:49.009580,SQLi,Time-based Blind,"OR IF(1=1, SLEEP(5), 0)",Weak Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:49.015917,SQLi,Time-based Blind,"OR IF(1=1, SLEEP(5), 0)",Strict Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:49.124683,SQLi,Authentication Bypass,admin'--,Weak Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:49.131043,SQLi,Authentication Bypass,admin'--,Strict Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:49.239469,SQLi,Double Quote Tautology,""" OR 1=1--",Weak Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:49.246362,SQLi,Double Quote Tautology,""" OR 1=1--",Strict Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:49.354855,SQLi,Wildcard Bypass,' OR '%'=',Weak Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:49.361555,SQLi,Wildcard Bypass,' OR '%'=',Strict Contract,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:06:49.470763,XSS,Basic Script Tag,<script>alert('XSS')</script>,Weak Contract,ALLOWED,200,"{""pattern_name"": ""Basic XSS"", ""status"": ""pattern_received""}"
2025-10-12T18:06:49.476666,XSS,Basic Script Tag,<script>alert('XSS')</script>,Strict Contract,ALLOWED,200,"{""pattern_name"": ""Basic XSS"", ""status"": ""pattern_received""}"
2025-10-12T18:06:49.583693,XSS,Image OnError,<img src=x onerror=alert(document.cookie)>,Weak Contract,ALLOWED,200,"{""pattern_name"": ""Img XSS"", ""status"": ""pattern_received""}"
2025-10-12T18:06:49.589683,XSS,Image OnError,<img src=x onerror=alert(document.cookie)>,Strict Contract,ALLOWED,200,"{""pattern_name"": ""Img XSS"", ""status"": ""pattern_received""}"
